0,1,2,3,4,5,6,7,8,9,10,11
10,35,11,1488,675,2,73,87,0,0,0,3
1924,366,4648,3223,1257,6198,2097,535,0,0,0,1
3,478,4649,75,71,94,0,0,0,0,0,1
23,1672,1416,859,860,115,32,8,2844,988,0,1
436,808,594,472,272,426,62,0,0,0,0,0
172,25,2,4,71,2,234,0,0,0,0,3
28,60,52,138,35,11,2,4,327,2,0,0
33,989,809,377,3224,6199,1570,0,0,0,0,0
94,151,110,1786,2,59,198,378,16,3803,3225,1
861,3,6200,42,2,2251,26,128,2,0,0,1
44,617,85,2,8,17,80,0,0,0,0,1
3,53,1925,595,367,2,22,0,0,0,0,1
336,959,4650,2,27,113,283,0,0,0,0,0
62,6201,103,1417,564,0,0,0,0,0,0,3
42,4651,145,24,779,239,6,126,0,0,0,1
306,82,85,121,810,1787,17,24,0,0,0,3
102,47,182,177,607,673,4652,505,0,0,0,0
37,42,279,13,51,2,178,1489,6,1490,0,1
3,91,2,4,37,42,96,0,0,0,0,1
1571,6202,224,360,47,1084,304,563,118,11,0,1
1037,862,112,1258,339,6203,6204,0,0,0,0,0
438,2,8,1926,1673,44,228,120,67,108,0,1
33,808,2252,43,39,337,6,3804,0,0,0,0
10,51,778,258,130,479,168,137,0,0,0,0
7,489,618,23,128,161,0,0,0,0,0,3
28,35,147,11,2,4,521,2,0,0,0,0
251,565,1491,450,1418,6205,394,6206,0,0,0,0
404,5,451,224,15,18,0,0,0,0,0,2
405,1674,863,3,167,833,0,0,0,0,0,1
1788,1419,2253,166,160,11,8,14,246,546,0,0
28,195,12,2,4,521,2,0,0,0,0,0
3,9,4653,4654,16,120,990,533,0,0,0,1
3,9,155,75,2,4,69,1140,0,0,0,1
190,2098,3805,277,259,371,2,716,773,774,0,1
3,6207,3226,24,1089,10,0,0,0,0,0,1
3,116,317,1090,2520,360,38,73,272,0,0,1
1334,2,1091,3227,661,532,463,4655,0,0,0,0
452,619,38,26,169,2,4,263,0,0,0,1
28,195,12,2,4,521,2,0,0,0,0,0
662,25,2,27,473,64,2,0,0,0,0,0
1335,717,2,4,2,4,534,11,676,620,88,0
5,19,808,4656,991,6208,1927,6209,0,0,0,2
5,1199,33,596,960,16,548,0,0,0,0,2
7,1199,247,75,2845,2254,564,0,0,0,0,3
1572,439,4657,3806,7,6,1789,50,82,0,0,3
3,72,146,248,21,504,2846,2521,0,0,0,1
5,19,344,397,165,29,1790,386,365,0,0,2
3,61,164,165,2,4,75,328,1675,139,0,1
5,19,53,140,2,59,14,4658,247,2522,3807,2
490,45,992,134,6210,6211,4659,4660,1092,1492,718,3
3,1336,2,4,14,240,37,58,0,0,0,1
217,241,150,1337,56,26,3808,1928,3,9,0,1
123,1929,1259,167,1930,536,70,3228,621,533,6,0
43,622,6212,2099,1791,124,3,0,0,0,0,1
38,3,271,2,59,3809,47,266,138,89,122,1
3810,323,176,719,125,6213,245,88,0,0,0,0
1792,38,170,1931,6214,0,0,0,0,0,0,1
8,5,691,1484,3811,2100,1928,235,2,4,0,2
596,6,6215,26,2101,6216,6217,895,0,0,0,1
961,1420,72,38,6218,2255,3812,313,0,0,0,0
10,1793,147,11,47,638,1338,2102,0,0,0,2
5,110,2523,986,3813,16,632,55,141,620,178,2
101,313,167,4661,6219,2847,4662,491,0,0,0,0
3,72,1038,38,6220,6221,310,2256,1200,0,0,1
255,49,1573,2,2847,633,2,993,2,1676,3814,0
5,3211,1794,1493,1932,2257,100,1093,54,0,0,2
559,506,284,52,811,2848,692,1141,0,0,0,0
864,38,26,229,480,114,0,0,0,0,0,0
28,61,12,865,4663,623,37,26,76,0,0,0
5,19,6222,6223,2849,3815,365,0,0,0,0,2
65,377,29,338,134,352,11,210,17,176,0,3
5,994,1139,1677,1678,14,198,378,0,0,0,2
7,41,150,75,2850,2,4,4664,1795,1933,0,3
28,1934,2,4,195,364,2,474,443,175,159,0
65,340,377,6224,522,230,0,0,0,0,0,3
29,1260,24,3221,1679,1081,2,1094,0,0,0,2
345,1339,2258,2524,2103,17,24,0,0,0,0,2
3,3816,995,52,4665,6225,326,0,0,0,0,1
191,5,2851,4666,335,929,110,2,22,1095,0,2
209,833,898,98,15,3229,2259,0,0,0,0,2
95,109,300,3817,108,121,0,0,0,0,0,0
353,249,416,776,2852,2844,24,13,0,0,0,1
7,41,2519,158,503,517,899,136,0,0,0,3
3,635,237,38,26,2525,2260,96,0,0,0,1
3,2104,52,991,750,104,1142,0,0,0,0,1
10,189,2,4,1255,3230,182,177,354,63,2,2
70,3,454,492,3231,89,122,0,0,0,0,1
6226,6227,2853,13,355,6228,6,305,0,0,0,0
596,132,303,3232,720,341,131,0,0,0,0,0
3,2261,4667,16,2854,1421,69,639,0,0,0,1
5,48,2526,1680,2,22,0,0,0,0,0,2
113,656,222,2527,3818,16,1935,216,2528,0,0,3
780,31,677,900,1796,264,2529,0,0,0,0,0
3,9,53,866,38,26,2,4,71,2,234,1
14,2,272,444,8,5,691,40,6229,0,0,2
36,280,2848,46,811,2,20,100,54,0,0,0
10,51,2,4,3233,107,468,7,41,189,0,3
1143,72,74,493,445,2,59,315,0,0,0,0
144,79,5,19,172,597,1340,354,0,0,0,2
83,1574,523,322,781,226,0,0,0,0,0,0
314,577,2,8,17,80,1096,693,1341,4668,0,2
3,663,2855,26,6230,6,93,0,0,0,0,1
70,3,6,97,578,1681,2856,0,0,0,0,1
58,3,11,1033,2,4,174,42,2857,2,4,1
36,204,1422,397,48,8,133,1423,32,566,0,3
79,958,2858,240,37,2530,1097,0,0,0,0,1
1419,2859,2531,40,199,1575,546,6,616,0,0,0
438,8,4669,863,1576,0,0,0,0,0,0,3
2,4670,1253,2,4,3819,223,11,103,0,0,3
5,475,211,664,3234,4671,14,198,378,0,0,2
294,68,98,15,18,356,47,675,494,0,0,2
10,61,11,14,307,394,183,1340,354,51,2,1
3,9,1408,120,56,14,4672,31,0,0,0,1
3,2860,4673,2,1098,4674,3235,2,114,0,0,1
5,46,2,38,901,320,567,3820,3821,0,0,2
10,1144,1797,1577,3822,2105,47,385,0,0,0,0
568,398,6231,469,2106,355,6232,0,0,0,0,1
132,39,678,71,2532,3823,507,6,249,0,0,0
665,231,181,214,53,24,690,6,3824,0,0,1
121,2107,6,208,216,121,4675,0,0,0,0,0
5,19,29,1260,2,721,1798,32,8,136,0,2
54,3236,346,287,175,2,71,640,2861,0,0,2
172,597,49,165,8,6233,2,6,70,0,0,3
44,11,26,782,492,3,6,31,0,0,0,1
10,195,1682,6234,200,304,63,2,4,0,0,1
36,13,440,7,41,25,480,324,62,2,71,3
130,2533,256,12,2,4,25,92,464,0,0,0
3,1683,4676,518,6235,4677,0,0,0,0,0,1
101,579,672,632,548,1410,330,2,0,0,0,2
7,91,75,406,1684,2,4,0,0,0,0,3
50,118,508,2262,295,185,2,3,0,0,0,1
1145,2534,60,12,2,4,25,370,0,0,0,0
624,495,169,2,4,176,13,0,0,0,0,0
260,812,256,25,2,22,1039,0,0,0,0,0
3,9,1578,2862,2263,1201,124,30,1202,496,97,1
655,2863,38,71,857,3825,6236,137,0,0,0,0
55,5,806,2,20,2,6237,6238,0,0,0,2
3,311,194,2,4,11,26,74,1799,0,0,1
133,4678,169,2,4,2,53,2108,2,0,0,0
10,106,459,2,87,174,0,0,0,0,0,0
3,186,3237,332,139,577,262,0,0,0,0,1
3,2535,135,2,27,813,0,0,0,0,0,1
2103,3826,6,532,6239,1936,996,0,0,0,0,0
28,189,125,1085,1331,173,0,0,0,0,0,0
8,32,2,324,444,658,10,263,0,0,0,2
116,23,417,8,814,161,67,128,0,0,0,2
294,455,3827,10,17,80,312,751,6240,8,0,2
50,72,146,783,2109,784,104,0,0,0,0,0
28,106,11,2,4,327,2,0,0,0,0,0
54,196,4679,133,2264,2,6,1134,0,0,0,0
325,1937,2864,100,2110,657,16,1203,0,0,0,0
3238,273,49,6241,5,1579,1580,2,531,3828,14,2
559,44,962,356,12,8,625,201,0,0,0,0
607,1581,60,25,92,2,22,370,0,0,0,0
209,2265,220,3239,62,2865,2,20,200,2,0,3
33,836,427,110,2,22,3829,252,0,0,0,2
54,2866,489,1040,930,0,0,0,0,0,0,0
338,1041,4680,596,288,188,61,2266,493,125,188,0
6242,1494,3831,2536,205,815,173,2867,135,0,0,0
1788,509,1099,2,73,1146,387,0,0,0,0,0
15,18,51,2,4,598,957,57,278,2,4,2
54,192,53,866,33,2,59,783,4681,0,0,0
436,30,4682,519,435,1342,2,114,0,0,0,0
255,447,491,3240,33,6243,0,0,0,0,0,0
6244,6245,867,1147,2267,324,3241,6246,0,0,0,1
43,6,125,181,214,1938,135,3,0,0,0,1
7,41,6247,2,73,1204,316,54,0,0,0,3
131,43,4683,811,6248,1343,2,73,6249,0,0,0
98,15,18,356,1939,45,68,0,0,0,0,2
424,1495,997,225,317,748,2,20,6,173,0,0
28,35,2,180,11,1205,0,0,0,0,0,0
28,473,47,1489,12,35,521,2,0,0,0,0
36,2868,34,291,1940,641,0,0,0,0,0,0
292,903,109,63,2,4,107,468,39,1929,775,0
3,815,2537,69,1941,1496,2838,0,0,0,0,1
343,963,48,1582,3832,3833,6250,6251,0,0,0,0
144,79,123,242,5,19,121,440,65,837,0,2
2268,632,548,273,6252,6,3242,2538,0,0,0,2
446,3243,496,207,6253,722,428,0,0,0,0,1
1583,416,32,221,158,423,24,0,0,0,0,2
3,9,931,6254,4684,2,20,176,153,0,0,1
296,2269,135,723,1584,4685,0,0,0,0,0,0
34,2539,315,1942,2,127,24,0,0,0,0,1
3,155,75,6255,388,4686,0,0,0,0,0,1
5,106,2,64,71,25,175,2,0,0,0,2
3,816,904,3244,4687,6,344,0,0,0,0,1
10,524,4688,724,1800,0,0,0,0,0,0,2
6256,2540,190,121,3,1497,277,259,0,0,0,1
10,61,1943,2,4,856,1801,51,2,4,546,1
4689,3245,2869,320,5,55,0,0,0,0,0,2
36,13,440,25,138,3246,50,666,2270,48,0,3
210,7,41,91,534,460,2,1498,4690,1424,0,3
190,6257,3247,2870,1944,927,537,33,3834,0,0,0
10,51,2532,5,102,24,626,0,0,0,0,2
1802,905,964,3248,5,1206,2541,0,0,0,0,2
525,1344,868,304,2542,17,3249,2,4,620,88,1
300,1033,1204,62,389,2,4,178,264,998,0,3
323,3835,1148,198,965,108,636,100,4691,0,0,0
329,206,21,1042,1043,6258,3836,0,0,0,0,0
5,2,114,14,55,97,4692,752,34,0,0,2
607,1581,206,379,2,1042,2543,0,0,0,0,0
526,81,4693,785,4694,325,0,0,0,0,0,1
7,222,6259,6260,16,1685,2515,6261,0,0,0,3
3,9,6,6262,240,56,26,4695,1686,0,0,1
2871,2872,2111,39,6263,6264,753,200,0,0,0,0
3,9,38,26,69,51,2,4,159,6,126,1
7,285,549,6265,3837,79,44,6266,0,0,0,3
44,617,291,121,810,156,856,693,1345,24,0,1
6267,2873,3250,524,470,350,1425,0,0,0,0,1
3251,290,252,453,1803,715,1687,0,0,0,0,2
10,51,2,4,4696,627,31,16,462,13,0,0
36,347,60,25,92,2,27,2,0,0,0,0
83,29,77,24,2,152,0,0,0,0,0,2
3,369,29,378,2,20,49,2544,0,0,0,1
2545,62,3252,6,50,16,129,725,0,0,0,3
456,999,157,2546,1945,3838,33,1499,0,0,0,0
28,106,12,2,4,327,2,0,0,0,0,0
345,377,5,372,17,77,80,0,0,0,0,2
5,371,1585,43,2547,1804,3253,1346,0,0,0,2
5,19,245,33,261,34,6268,16,424,0,0,2
23,1149,3,9,6269,6,2874,0,0,0,0,1
3,4697,2,114,135,2,27,1688,813,0,0,1
158,2875,244,1100,3839,2548,348,6,65,0,0,0
43,397,252,4698,4699,0,0,0,0,0,0,2
28,1142,3254,3255,1261,1413,7,41,78,357,0,3
7,41,49,3840,321,3256,2549,869,4700,0,0,3
3,9,6,332,1487,2,488,71,13,0,0,1
2112,360,1498,232,6,4701,4702,3841,2109,321,3842,3
297,66,862,91,1805,694,16,777,0,0,0,0
780,31,1946,1417,2550,1586,3843,695,0,0,0,0
10,1587,2,724,1205,465,5,19,63,2,4,2
812,489,190,23,180,1928,2,4,0,0,0,3
50,805,48,5,19,298,453,2551,14,895,6270,2
1000,1806,256,25,2,22,12,2,4,0,0,0
3,84,2113,1588,932,330,2,14,2,73,783,1
28,1689,182,177,1500,219,183,0,0,0,0,0
338,7,148,173,53,726,202,2,4,667,423,3
101,487,785,1195,2,22,5,0,0,0,0,2
28,61,11,376,1589,461,107,112,107,468,0,0
338,283,345,118,17,77,8,3257,0,0,0,2
31,281,1150,1690,274,3844,0,0,0,0,0,0
15,18,51,2,4,24,250,1347,74,13,1500,2
5,19,1426,1044,2114,211,2876,18,2271,0,0,2
679,62,6272,360,838,6,3845,0,0,0,0,0
50,6273,3,17,77,0,0,0,0,0,0,1
3,46,360,3846,6274,38,332,1487,2,0,0,1
1045,906,1690,24,353,0,0,0,0,0,0,2
3,60,44,2520,470,89,122,858,310,535,0,1
57,1001,6275,6276,4703,6277,0,0,0,0,0,0
418,466,2272,1691,16,211,1427,0,0,0,0,0
399,492,6278,250,290,26,0,0,0,0,0,0
7,41,1348,1262,13,84,202,2,4,32,652,3
666,425,295,185,5,2,91,508,2262,0,0,2
5,754,815,594,320,6279,561,933,163,0,0,2
5,3258,111,34,2,27,186,65,340,0,0,2
3,475,38,1042,1675,983,14,3847,330,2,0,1
31,3259,279,81,6280,605,2115,0,0,0,0,1
305,6,299,30,1100,396,67,550,0,0,0,2
306,82,267,2,755,44,17,77,80,0,0,1
3260,62,50,3848,78,185,2,0,0,0,0,3
1207,1590,48,2,59,8,666,0,0,0,0,0
3,9,35,21,275,4704,32,335,0,0,0,1
3,9,966,2,27,409,839,0,0,0,0,1
265,696,608,2273,262,3261,3262,0,0,0,0,0
817,3849,274,6,31,0,0,0,0,0,0,0
1428,5,356,11,2,4,45,44,962,0,0,2
835,1947,43,2116,2877,747,0,0,0,0,0,0
3,101,785,380,21,818,0,0,0,0,0,1
28,1429,35,147,11,47,1501,6281,39,0,0,3
31,400,16,4705,274,817,0,0,0,0,0,0
217,241,86,508,108,13,0,0,0,0,0,3
14,24,37,459,3,167,2878,42,0,0,0,1
95,109,83,816,99,40,180,0,0,0,0,0
25,5,63,2,4,2,59,2,64,0,0,2
338,65,52,43,30,1692,8,94,151,0,0,1
102,47,212,13,505,673,3,819,0,0,0,0
3,9,142,1948,187,907,651,2,22,0,0,1
157,196,1046,108,6282,6283,2879,4706,727,0,0,3
10,61,12,6284,168,137,0,0,0,0,0,2
580,697,676,86,171,90,820,2,234,0,0,0
123,242,497,870,1135,551,74,248,117,0,0,0
3,805,533,1807,3850,1349,2117,0,0,0,0,1
1341,3263,66,82,2,20,2,2,0,0,0,0
123,208,129,119,245,226,0,0,0,0,0,0
1350,1351,105,481,417,1502,74,0,0,0,0,0
2552,934,2274,1002,3851,1503,2118,0,0,0,0,3
7,110,240,202,2,4,2,2,4,2,0,3
7,148,203,111,2275,2,103,16,119,419,0,3
2276,4707,6285,173,4708,1693,0,0,0,0,0,0
54,173,57,1949,120,1808,6286,0,0,0,0,0
5,19,298,935,15,18,2553,79,4709,3852,0,2
204,840,1101,816,7,6,78,0,0,0,0,3
1694,43,358,52,159,487,67,821,0,0,0,0
50,3264,361,749,17,337,0,0,0,0,0,1
836,908,2880,4710,3265,2,651,233,258,0,0,0
3,141,53,1263,21,275,1264,355,159,2554,1047,1
10,189,2,4,47,1208,353,460,62,278,7,1
150,171,1591,14,6287,6288,1574,39,0,0,0,0
599,163,698,166,71,11,2,114,0,0,0,0
5,6289,1265,6290,16,494,55,6,376,0,0,2
6291,400,386,2277,48,637,538,0,0,0,0,1
28,11,841,494,401,103,39,0,0,0,0,0
3,6,510,3853,21,156,0,0,0,0,0,1
5,1695,4711,8,261,2555,365,0,0,0,0,2
3,9,155,858,26,4712,0,0,0,0,0,1
102,47,249,202,260,50,361,7,699,456,0,3
446,577,4713,1151,3266,107,112,0,0,0,0,0
7,148,78,108,25,6292,34,0,0,0,0,3
14,908,596,960,1037,581,1206,2556,6293,16,55,2
6294,6295,1430,67,2529,0,0,0,0,0,0,0
442,3,9,2119,223,96,443,140,23,0,0,1
438,417,8,1592,2095,814,24,67,50,0,0,1
3854,322,1504,4714,967,5,0,0,0,0,0,2
65,837,91,2,4,6296,300,321,95,202,6297,0
3,4715,2,871,6299,6300,2101,1209,6,93,0,1
4716,842,3855,1696,642,275,3,0,0,0,0,1
365,1003,728,30,1505,107,112,0,0,0,0,0
5,994,668,211,288,606,1431,3856,0,0,0,2
836,1206,2,27,1593,410,4717,79,2880,0,0,1
2267,3857,3858,729,379,219,183,0,0,0,0,0
2118,6301,135,154,668,2,1352,2881,0,0,0,0
314,403,238,1102,17,77,80,0,0,0,0,2
81,2278,411,2279,1041,193,6,1103,2,73,366,1
1104,412,43,622,714,1414,3859,2,2,0,0,0
3,9,207,52,247,101,594,1344,582,0,0,1
89,122,6302,480,79,2,125,26,427,0,0,1
1432,1004,176,1950,2,4,67,730,0,0,0,0
1578,4718,4719,786,52,821,418,466,0,0,0,0
1506,2882,622,1809,3267,2273,1810,6303,0,0,0,0
78,569,3,362,329,3860,1795,17,80,306,0,1
3,264,2883,488,4720,26,4721,1152,0,0,0,1
3,9,239,6304,4722,100,129,2,4,69,0,1
233,61,104,936,2120,4723,0,0,0,0,0,2
373,1153,85,569,113,329,7,511,552,17,80,3
10,35,12,2,4,2,87,0,0,0,0,0
43,466,1048,2,127,1105,3253,3268,79,2,257,2
157,66,216,569,3269,3270,0,0,0,0,0,0
7,41,361,749,117,1507,1697,178,1266,0,0,3
3,2557,1049,6305,117,0,0,0,0,0,0,1
7,41,3271,78,357,1433,29,136,128,67,2,3
13,2558,1210,6,70,233,0,0,0,0,0,0
8,3,855,2,4,14,627,722,428,0,0,1
1951,6306,6307,1789,340,4724,330,2,0,0,0,0
81,6308,279,6309,42,58,319,0,0,0,0,1
11,3272,53,519,62,4725,6310,104,0,0,0,3
14,3861,1050,1499,662,3862,968,4726,0,0,0,0
4727,5,2519,34,61,724,45,1952,11,0,0,2
1811,3273,1812,2884,6311,787,374,6,616,0,0,0
3,110,268,1594,2,4,229,245,2,0,0,1
412,63,2,4,6312,4728,71,381,175,2,0,0
965,1698,5,4729,197,1434,4730,2547,0,0,0,2
6313,43,1349,578,386,3863,423,909,0,0,0,1
10,1953,195,12,8,1699,160,11,0,0,0,2
25,1211,2,22,2885,473,64,2,0,0,0,0
1212,89,122,1508,28,751,872,16,36,280,0,1
3,9,2559,907,6314,52,159,2522,0,0,0,1
93,1435,152,5,167,6315,0,0,0,0,0,2
10,61,12,14,416,5,19,569,2280,0,0,2
3,205,2,272,1353,843,2,553,488,0,0,1
1595,2,51,2,4,263,6,599,0,0,0,1
5,404,451,11,15,692,1141,57,0,0,0,2
78,357,53,134,71,11,25,482,62,6,347,3
15,18,756,278,2,4,2,4,316,3274,6316,2
3,203,2,127,23,0,0,0,0,0,0,1
342,539,1509,33,1954,910,0,0,0,0,0,0
2886,2121,1813,4731,166,2560,1955,101,839,0,0,0
7,41,49,223,2,27,132,1596,2,0,0,3
747,7,148,41,1814,0,0,0,0,0,0,3
15,18,643,2,4,45,68,0,0,0,0,2
446,1436,788,198,16,33,265,633,0,0,0,0
1083,49,223,2,22,3815,957,0,0,0,0,0
286,644,46,129,1005,6317,230,0,0,0,0,0
3,23,6318,65,86,295,185,0,0,0,0,1
102,47,287,5,19,3275,1006,219,183,1213,0,2
21,117,3,30,1700,6319,6,969,0,0,0,1
7,628,1701,346,36,387,1597,6320,0,0,0,3
258,757,150,25,92,2,4,2,20,370,0,0
1214,1267,1956,60,25,92,2,59,348,0,0,0
10,147,11,2887,178,6321,1800,0,0,0,0,3
43,116,937,1087,1437,3,0,0,0,0,0,1
3,1438,170,2514,141,164,758,0,0,0,0,1
94,151,663,33,3276,243,4732,0,0,0,0,1
90,773,774,1268,2122,2,4,161,0,0,0,0
217,241,481,873,60,25,2,59,759,0,0,0
10,61,12,220,376,777,2,0,0,0,0,0
54,115,2,27,2542,1501,838,0,0,0,0,0
491,13,720,262,53,731,2,73,230,0,0,0
238,1957,32,8,2561,4733,1260,24,0,0,0,2
1154,1702,110,937,2,243,2,0,0,0,0,0
491,1958,53,594,2281,4734,1007,498,211,2282,0,0
442,6322,277,259,2888,672,0,0,0,0,0,0
1006,1269,2,8,136,134,1155,570,2,4,67,3
101,118,1003,262,5,0,0,0,0,0,0,2
1815,24,123,590,2889,756,138,10,0,0,0,0
1703,83,102,473,47,1215,0,0,0,0,0,0
1194,478,3864,6323,784,3865,0,0,0,0,0,0
1571,970,126,3866,2,139,2,73,6324,38,0,1
3867,2123,899,443,44,3,4735,45,0,0,0,1
28,167,458,14,2283,47,3868,35,327,2,0,0
436,264,101,115,1816,6325,4736,1930,2124,2890,0,0
306,118,243,527,361,699,511,7,17,80,0,3
1270,346,1034,178,270,175,2,609,634,6326,223,0
483,7,1669,2,73,1216,2562,50,0,0,0,3
115,663,1817,540,111,2,20,0,0,0,0,0
680,332,761,1598,89,122,310,535,0,0,0,1
5,49,223,2,27,2,1106,594,1411,0,0,2
209,200,10,499,72,47,44,224,0,0,0,1
6327,788,665,376,16,21,26,89,122,0,0,1
43,49,3217,2,27,777,2,0,0,0,0,0
6328,91,75,406,1818,1819,13,0,0,0,0,0
90,78,357,118,408,12,2,4,2,0,0,0
21,143,233,258,1156,2108,2891,547,6,301,36,2
31,13,6329,2892,698,0,0,0,0,0,0,0
249,425,300,103,39,1959,443,1205,0,0,0,0
3,198,157,159,1704,133,6,65,340,0,0,1
4737,3869,1107,2563,2893,125,1820,181,214,0,0,1
3277,925,2892,164,2,20,16,410,3278,5,6330,2
633,205,4738,2847,176,0,0,0,0,0,0,0
6331,6332,4739,2284,349,55,0,0,0,0,0,2
32,2,8,225,3870,111,4740,1266,0,0,0,0
209,307,99,6333,401,816,95,109,40,154,0,0
2125,72,164,1002,74,493,8,39,0,0,0,0
212,500,253,2564,6334,535,70,124,0,0,0,0
37,623,42,51,2,178,481,2,6,1490,0,1
6335,42,1354,1157,8,3,45,0,0,0,0,1
10,189,4741,2285,374,5,19,63,2,4,0,2
6336,83,2,8,225,3870,111,6337,0,0,0,0
6338,6339,1333,789,339,313,0,0,0,0,0,0
441,417,324,62,225,1930,1417,564,0,0,0,3
